"LAD23NM","No_Companies","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Hinckley and Bosworth",14,3140984.4389,26437160,40,6943,0
"Horsham",48,122175340.06267,101253706,1348,10109620,216279998.79999998
"Hounslow",59,1145093608.53316,1809762122,7219,206469,0
"Huntingdonshire",84,1051440921.5602701,1936834037,6231,5103997,4390000.133
"Hyndburn",14,4029502.66635,5960173,68,0,0
"Inverclyde",25,7430612.38346,16332360,38,0,0
"Ipswich",25,12099479.475,298499718,250,0,0
"Isle of Anglesey",10,2702023.47872,6516123,38,0,55290000.919999994
"Isle of Wight",25,67873154.97672,111123595,889,733130,0
"Isles of Scilly",1,0,350,1,0,0
"Islington",462,2666702563.5802402,6691675479,36530,13614428,83500001.10499999
"Kensington and Chelsea",88,74831926.12763,248451944,518,257389,211609999.85300002
"King's Lynn and West Norfolk",42,22081869.87873,75916905,345,5000,0
"Kingston upon Hull, City of",46,269274287.55669004,824315384,3189,296064,0
"Kingston upon Thames",36,7302563.91779,23467561,114,673081,6349999.904999999
"Kirklees",76,28931257.36412,32821607,462,0,0
"Knowsley",21,311295842.68375,454923228,1501,118528,0
"Lambeth",113,83692603.35522,1478030565,1170,4356828,17160000.115
"Lancaster",39,16806241.40729,25603971,208,4432898,24760000.23
"Leeds",220,504651944.81084996,4135821087,7936,243640,671219999.9990001
"Leicester",87,137767731.86268,663511672,1395,2204152,729999.99
"Lewes",25,5036329.86905,10059375,77,76362,0
"Lewisham",36,6325504.9609,61916224,161,2021661,1299999.9519999998
"Lichfield",43,37532677.92385,128291754,747,2659008,39370000.005
"Lincoln",19,11861189.98809,16964952,217,2658658,3200000.003
"Lisburn and Castlereagh",34,50642477.89497,188552861,386,0,0
"Liverpool",91,82557919.87489,195411971,776,518504,1740000.009
"Luton",22,6478126.08205,14625569,101,5000,0
"Maidstone",31,6147587.24762,8852039,89,402960,0
"Maldon",14,7933962.57259,15096260,114,762347,310000.002
"Malvern Hills",35,11279184.72108,23632142,217,3567110,29510000.23
"Manchester",139,694170024.6212701,6015840621,5137,1441620,122220000.267
"Mansfield",20,8281287.79155,21046646,129,0,0
"Medway",44,16340167.64264,112337041,287,406459,0
"Melton",15,8490604.10961,30445165,150,689190,0
"Merthyr Tydfil",2,407564.06759999995,1123287,8,0,0
"Merton",56,23789777.95602,63082140,435,5000,13070000
"Mid Devon",38,17273282.25088,28486015,179,0,0
"Mid Suffolk",57,69846968.10652,566001402,1028,926525,78010002.14
"Mid Sussex",51,16373558.76134,31006758,338,280463,0
"Mid Ulster",28,44899615.17829,402486161,480,76057,0
"Mid and East Antrim",49,24624799.62881,425590753,138,377228,910000.026
