"LAD21NM","RGN21NM","No_Companies","GVA","Turnover","Employees","GVA_job"
"Sheffield","Yorkshire and The Humber",197,268388811.2124005,631356326.4136934,3436.495223999519,78099.57346602675
"Newcastle upon Tyne","North East",243,576644425.762524,1868985719.855193,4484.185043218139,128595.14498284107
"North Tyneside","North East",104,360114587.43186635,1363069188.468209,3286.1203197342925,109586.54960661463
"South Tyneside","North East",41,79042582.66318634,245157541.76425743,726.1519812842984,108851.2938068265
"Sunderland","North East",171,377351883.8229839,2299023206.909343,4159.7530900557995,90714.97169509214
"Bradford","Yorkshire and The Humber",158,96090429.8953603,586647621.1800569,1624.2752255226715,59158.95802968959
"Calderdale","Yorkshire and The Humber",89,61343853.62518716,164718587.5105049,913.4454711294824,67156.55785050312
"Kirklees","Yorkshire and The Humber",131,58678381.3757017,112030640.95756924,710.4814504070526,82589.60363016288
"Leeds","Yorkshire and The Humber",664,739160598.2854464,9274586260.098068,14289.406359053108,51727.87306291058
"Wakefield","Yorkshire and The Humber",118,136199999.27622306,855838488.3990822,2727.890485781122,49928.690314421714
"Gateshead","North East",250,324887721.80512184,616827878.7692542,3310.4972835792573,98138.64624406469
